day	Stepan_Bandera	GIGN	Petr_Fiala_(politolog)	Demograf	Super_Bowl	Program_NSDAP	Jan_Pohan	Alessandro_Volta	Petter_Northug	Gerhard_Mercator	Terry_Pratchett	Vlasta_Korec	Ambra	Dadja_Altenburg-Kohl	Pony_Express	Terra_nullius	Bruce_Jenner	David_Navara	European_Train_Control_System	Pekka_Rinne	Eurovision_Song_Contest_2015	Hydrazin	Pierre_Brice	MERS	Svoboda_panoramatu	Josef_Masopust	Janis_Varufakis	Theobald_Czernin	Jules_Bianchi	Ladislav_Kantor	Ivan_Moravec	Perseidy	Aeronet.cz	Laibach	Villarreal_CF	Skopolamin	Nomofobie	Ztohoven	TV_JOJ	Sitatunga	Lupus	Ivan_Langer	Martin_Havelka	Miroslav_Toman_(1935)	Strana_spravedlnosti_a_rozvoje	Eagles_of_Death_Metal	Mali	Ortel	Miloslav_Ransdorf
20150505.tsv	61	0	0	0	0	31	0	70	0	15	101	0	18	11	0	76	18	323	10	23	21	19	26	0	0	17	0	0	0	0	0	0	13	10	0	14	0	0	0	0	18	19	0	0	0	0	71	0	10
20150506.tsv	81	0	19	0	11	0	10	66	0	0	104	0	19	12	10	43	29	178	11	34	21	14	16	0	0	37	0	0	0	0	0	12	20	0	0	11	10	0	0	10	18	22	0	0	0	0	65	0	0
20150507.tsv	71	0	18	0	13	17	10	82	0	0	100	0	21	13	0	40	32	152	14	14	49	15	24	0	0	16	0	11	0	0	0	0	44	12	0	17	0	10	13	0	12	21	16	0	0	0	54	10	0
20150508.tsv	88	0	0	0	28	0	11	48	0	13	92	0	30	0	0	37	30	78	13	14	24	20	10	0	0	16	0	0	0	0	0	10	10	15	0	15	0	0	0	0	32	22	0	0	0	0	77	0	20
20150509.tsv	131	0	0	0	19	18	0	12	0	12	75	0	21	0	0	30	26	72	11	36	14	21	17	0	0	29	0	0	0	0	0	0	11	10	0	14	0	0	0	0	12	20	0	0	10	0	41	0	12
20150510.tsv	152	0	0	0	20	24	11	25	0	0	74	0	27	10	12	246	22	53	0	68	24	20	23	0	0	21	0	0	0	0	0	0	19	11	0	15	16	0	12	0	12	15	12	0	0	0	49	0	11
20150511.tsv	112	0	0	0	13	26	15	37	0	0	97	0	32	20	0	413	20	32	14	41	19	27	18	0	0	18	0	0	0	0	0	13	0	14	0	10	0	0	0	0	25	17	13	0	0	0	52	15	11
20150512.tsv	60	0	11	0	26	0	18	49	0	0	100	0	23	13	14	192	20	58	1991	177	25	26	10	0	0	27	0	0	0	0	0	18	10	11	0	23	0	10	48	0	117	22	10	0	10	0	50	12	19
20150513.tsv	66	0	0	0	12	25	0	72	0	0	91	0	15	15	0	183	14	53	541	474	19	23	12	0	0	16	0	0	0	0	0	11	14	0	0	14	0	12	10	0	78	23	12	0	0	0	56	0	10
20150514.tsv	40	0	0	0	15	21	0	45	0	0	111	0	25	0	0	88	12	43	24	709	26	17	0	0	0	41	0	0	10	0	15	10	59	13	0	14	0	14	0	0	55	13	12	0	0	0	105	0	10
20150515.tsv	32	0	0	0	30	10	0	68	19	0	91	0	31	14	0	74	11	33	30	1094	20	28	10	0	0	40	0	0	0	0	13	0	32	0	0	18	0	10	15	0	28	10	0	0	0	0	87	0	0
20150516.tsv	35	0	0	0	14	0	0	23	0	14	95	0	0	10	0	89	0	50	17	321	31	24	10	0	0	27	0	0	0	0	0	0	0	11	0	0	0	0	10	0	36	19	12	0	0	0	56	11	0
20150517.tsv	29	0	0	0	11	13	0	13	0	11	108	0	18	0	12	79	20	53	0	110	31	19	0	0	0	16	0	0	0	0	0	12	0	10	0	14	0	0	0	0	35	14	0	0	0	0	38	0	11
20150518.tsv	28	0	12	0	12	16	20	61	0	13	103	0	10	0	0	198	18	32	0	71	33	28	12	0	0	24	0	0	0	0	0	10	12	19	0	12	15	0	0	0	32	29	19	0	0	0	64	10	0
20150519.tsv	43	0	0	0	12	21	20	70	0	13	125	0	13	0	0	95	34	40	11	56	54	34	10	0	0	41	0	10	0	0	0	12	0	10	0	18	14	0	0	0	26	0	19	0	0	0	75	11	0
20150520.tsv	27	0	0	0	25	14	0	87	0	0	128	0	30	11	0	70	56	23	12	31	185	45	12	0	0	35	22	0	0	0	0	15	0	0	0	27	0	0	0	0	187	22	0	0	0	0	74	0	15
20150521.tsv	43	0	12	0	11	0	17	54	0	18	137	0	26	0	11	157	28	35	19	36	232	22	17	0	0	72	0	0	0	0	0	13	11	12	0	12	20	16	15	10	155	26	11	0	0	0	80	11	11
20150522.tsv	53	0	14	0	15	10	12	99	0	12	111	11	23	13	0	98	17	36	17	18	292	29	17	17	0	62	0	0	0	0	0	14	24	0	10	11	0	14	0	0	55	24	0	0	0	0	43	11	10
20150523.tsv	39	0	10	0	13	13	0	50	0	0	116	0	20	0	0	156	14	88	36	16	324	17	16	0	0	37	0	0	26	0	0	0	74	31	0	12	0	0	0	0	28	17	0	0	0	0	52	0	29
20150524.tsv	35	0	0	0	17	0	18	17	0	16	76	0	23	0	0	309	16	28	13	16	572	24	14	0	0	18	0	0	10	0	0	10	59	10	0	13	0	0	0	0	0	16	17	0	0	0	47	14	19
20150525.tsv	43	0	0	0	16	14	29	45	0	15	416	0	18	0	0	157	16	32	0	16	621	25	26	0	0	58	0	10	0	0	0	13	49	10	0	37	20	12	11	0	17	21	19	0	0	0	72	0	0
20150526.tsv	61	10	0	0	18	12	16	79	0	25	145	0	27	0	0	173	11	24	18	18	181	25	14	0	0	81	0	0	0	0	0	23	16	22	0	25	0	14	21	0	15	18	34	0	0	0	65	0	17
20150527.tsv	49	0	12	0	10	0	12	85	0	12	122	0	25	0	13	94	21	28	22	10	103	34	0	0	0	58	0	0	0	0	0	0	24	16	0	0	15	11	23	0	17	34	0	0	0	0	67	0	13
20150528.tsv	39	0	0	0	20	0	0	68	0	38	89	0	26	22	0	75	14	22	19	13	95	21	16	0	0	43	0	0	0	0	0	18	0	13	10	10	17	0	10	0	19	23	13	0	0	0	62	0	18
20150529.tsv	44	0	16	0	19	0	0	66	0	0	87	0	25	0	0	81	17	14	15	0	50	24	22	33	0	39	0	0	0	0	0	10	0	14	0	0	0	0	0	0	12	15	0	0	0	0	37	0	16
20150530.tsv	38	0	21	0	15	11	15	29	0	12	188	0	29	0	0	60	13	10	15	0	78	31	15	196	0	23	12	0	0	0	0	12	0	16	0	0	10	0	0	0	0	21	0	0	0	0	38	10	0
20150531.tsv	24	0	18	0	0	0	10	17	0	12	63	0	25	12	0	50	18	22	0	14	76	15	17	18	0	19	0	11	10	0	0	10	0	14	10	18	0	13	0	0	10	28	13	0	0	0	54	0	0
20150601.tsv	42	0	12	0	12	0	22	73	0	14	93	0	19	0	0	63	13	0	10	10	46	39	17	10	0	24	0	0	0	0	0	0	0	0	11	18	0	0	0	0	22	14	29	0	0	0	72	12	0
20150602.tsv	44	0	11	0	17	0	16	72	0	13	100	0	21	0	0	53	173	20	13	0	56	23	19	26	11	28	0	10	0	0	0	15	15	0	0	15	0	11	0	0	27	23	10	0	0	21	58	12	13
20150603.tsv	21	0	15	0	12	0	13	53	0	18	81	0	13	0	10	49	318	29	14	0	41	44032	15	92	0	28	0	11	0	14	0	13	16	14	0	13	0	15	0	12	19	26	0	0	11	0	56	0	12
20150604.tsv	30	0	0	0	0	12	14	57	0	13	85	0	31	18	0	50	125	16	0	0	43	35	10	87	0	23	0	0	0	0	0	0	15	0	0	26	0	12	0	0	15	10	10	0	14	0	45	10	16
20150605.tsv	25	0	0	0	20	14	18	54	0	12	92	0	30	16	15	86	87	28	16	0	56	30	14	88	0	35	11	11	0	0	0	26	16	0	14	20	0	23	15	0	34	17	0	0	11	0	49	0	14
20150606.tsv	31	11	0	0	22	0	0	30	0	20	85	0	18	26	0	60	95	19	11	0	42	15	12	245	0	26	11	16	0	0	0	29	30	15	0	12	0	19	16	0	24	16	16	0	16	0	32	0	0
20150607.tsv	35	0	17	0	25	0	0	18	0	19	64	0	23	0	0	29	10	27	0	0	39	22	4275	76	0	40	0	0	0	0	0	19	12	10	10	13	0	14	17	0	36	25	13	0	18	0	50	0	13
20150608.tsv	47	0	0	0	23	12	35	31	0	15	92	0	26	0	0	24	0	28	14	0	52	18	2247	119	0	39	14	17	14	0	0	20	0	0	0	16	0	27	12	0	28	16	15	15	46	0	64	0	0
20150609.tsv	36	0	11	0	17	11	26	63	0	0	102	0	29	0	0	37	0	34	0	0	29	46	1552	396	0	28	10	0	0	0	0	29	17	10	0	17	12	17	10	17	23	15	13	0	86	11	74	17	11
20150610.tsv	49	0	0	0	13	12	13	89	0	0	108	0	17	0	11	24	0	47	17	0	33	50	746	834	0	26	10	12	11	0	10	0	13	14	11	15	23	0	0	0	35	17	15	0	59	0	70	0	0
20150611.tsv	21	0	16	0	13	0	10	43	0	0	82	0	19	0	0	26	0	23	19	10	18	34	354	488	0	36	0	0	0	0	0	14	11	0	0	0	0	13	10	11	15	20	0	0	45	0	63	0	0
20150612.tsv	27	0	11	0	25	11	10	58	0	14	98	0	34	15	0	32	11	27	16	11	29	20	329	333	0	27	10	11	0	0	0	12	43	0	0	10	14	0	10	0	11	14	14	0	35	0	64	10	25
20150613.tsv	45	0	0	0	13	0	10	18	0	32	94	0	16	11	10	26	0	28	11	13	23	24	242	240	0	22	0	0	0	0	0	13	11	25	10	0	11	0	0	0	10	13	15	0	19	11	41	10	0
20150614.tsv	21	0	0	0	15	0	12	23	0	0	141	0	15	0	0	35	0	19	0	0	22	11	255	4119	0	26	10	0	0	0	0	14	0	16	0	0	0	0	0	0	0	10	0	0	18	0	38	0	0
20150615.tsv	31	0	0	0	0	0	12	30	0	0	104	0	21	0	0	37	0	25	11	0	31	12	189	3360	0	22	13	0	0	0	0	11	13	0	0	0	13	0	0	0	0	17	0	0	16	11	65	0	10
20150616.tsv	26	0	0	0	14	0	11	49	0	12	95	12	28	14	20	34	0	26	16	0	14	35	228	2792	0	28	42	0	0	0	14	27	17	10	10	15	10	12	0	0	10	45	10	0	26	10	55	13	20
20150617.tsv	26	0	0	0	16	12	0	49	0	0	73	0	15	13	0	28	0	0	0	0	14	24	185	8622	14	67	36	10	0	11	11	0	24	16	0	14	0	20	16	0	14	21	0	0	19	0	54	0	73
20150618.tsv	29	0	0	0	19	0	0	31	0	0	77	0	15	10	0	24	0	24	0	0	17	22	152	4040	450	34	0	0	0	13	0	0	18	0	0	20	15	43	0	0	17	11	10	0	18	11	113	0	38
20150619.tsv	16	0	0	0	0	13	0	28	0	0	83	0	13	12	0	24	0	28	11	0	17	21	721	1568	323	14	28	0	0	0	0	0	17	0	0	21	0	0	32	0	33	15	14	0	14	18	52	15	0
20150620.tsv	21	0	0	0	15	11	10	13	10	0	78	0	26	0	0	28	0	19	0	0	16	15	347	2481	93	17	64	0	0	0	0	0	11	10	0	0	0	0	12	0	17	15	15	0	0	11	57	12	28
20150621.tsv	50	0	0	0	12	0	0	0	0	0	52	0	15	0	0	25	0	13	0	0	14	0	189	547	34	105	13	0	0	0	0	14	27	13	0	0	0	0	0	0	18	11	0	0	0	0	64	16	15
20150622.tsv	30	0	0	0	14	14	11	24	0	18	79	0	26	10	0	25	0	19	0	0	84	14	150	1037	15	28	26	12	20	0	0	11	42	0	0	17	0	0	0	0	0	12	24	0	0	0	220	16	13
20150623.tsv	33	0	0	0	14	13	0	13	0	11	89	0	30	0	0	31	0	24	0	0	14	19	142	693	21	71	57	0	0	0	0	0	27	10	0	11	0	0	0	0	0	19	27	0	0	0	133	14	15
20150624.tsv	32	0	0	0	15	10	0	0	0	0	69	0	17	0	0	23	0	0	0	0	19	0	129	414	232	91	16	0	16	0	0	20	44	13	0	0	0	0	11	0	14	21	0	0	0	11	125	10	21
20150625.tsv	19	0	0	0	0	0	0	10	0	0	90	0	24	0	0	13	0	20	0	0	10	22	179	297	81	43	16	0	0	0	0	11	89	0	0	0	0	0	11	0	12	18	0	0	0	0	79	0	20
20150626.tsv	33	0	0	0	0	0	0	0	0	0	57	10	21	0	0	14	0	10	10	0	16	17	87	635	77	27	16	0	0	0	0	0	36	0	0	16	0	0	0	0	18	12	19	0	0	0	53	0	20
20150627.tsv	14	0	0	0	0	0	0	19	0	0	60	0	15	0	0	10	0	0	0	0	18	21	79	271	45	25	21	0	0	0	0	0	22	0	0	0	0	0	0	0	16	0	12	0	0	0	50	15	12
20150628.tsv	17	0	0	0	0	0	0	0	0	0	53	0	22	0	0	18	0	10	0	0	17	13	53	109	35	29	79	0	0	0	0	0	22	12	0	12	0	0	0	0	16	0	11	0	0	14	50	12	0
20150629.tsv	22	0	0	0	13	0	0	12	0	0	55	0	18	0	0	17	0	11	0	0	24	16	62	114	64	71	121	0	0	0	0	0	48	0	0	11	0	0	0	0	27	13	0	0	0	17	41	0	12
20150630.tsv	17	0	0	0	16	0	0	0	0	0	83	0	14	0	0	23	0	14	11	0	21	11	46	166	45	7110	106	0	0	0	0	11	57	0	0	0	0	0	0	0	21	12	14	0	0	19	43	15	0
20150701.tsv	16	0	0	0	0	0	12	13	0	0	79	0	25	0	0	26	0	0	17	0	21	15	39	150	152	1584	187	0	0	0	0	23	17	0	0	0	0	0	14	0	10	15	10	0	0	48	29	0	12
20150702.tsv	14	0	0	0	10	10	12	13	0	0	81	0	17	0	0	13	0	0	20	10	18	28	206	108	58	573	93	0	0	0	0	11	27	0	0	0	0	0	12	0	15	11	12	0	0	49	48	10	11
20150703.tsv	47	0	13	0	0	0	0	0	0	0	83	0	17	0	0	14	0	10	26	0	12	15	75	111	211	283	98	0	11	0	0	16	0	0	0	0	0	0	0	0	11	0	0	0	0	14	29	0	12
20150704.tsv	34	11	0	0	0	0	0	0	0	0	91	0	17	0	0	14	0	13	11	0	11	19	106	5880	200	240	63	0	0	0	0	16	15	0	0	11	0	10	0	0	59	0	0	0	0	13	48	13	0
20150705.tsv	22	0	0	0	16	14	0	0	0	0	46	0	13	0	0	11	0	19	0	0	12	0	77	300	126	138	146	0	0	0	0	12	10	14	0	12	0	0	0	0	17	0	10	0	0	0	30	13	11
20150706.tsv	28	0	0	0	0	0	0	0	0	0	67	0	11	0	0	12	0	11	0	0	12	16	42	148	45	130	121	0	0	0	0	12	0	0	0	0	0	0	0	0	15	0	0	0	0	0	23	11	0
20150707.tsv	36	10	0	0	17	0	0	0	0	0	69	0	0	0	0	18	0	0	0	0	12	14	43	208	31	133	592	0	0	0	0	19	14	0	0	14	0	0	0	0	0	17	0	0	0	0	29	0	11
20150708.tsv	17	0	0	0	13	0	0	0	0	0	73	0	21	0	0	20	0	11	0	10	10	20	53	228	45	204	279	11	0	0	12	32	13	11	0	0	0	0	0	0	12	15	0	0	0	0	34	12	0
20150709.tsv	14	10	0	0	0	0	0	0	0	0	89	0	19	0	0	11	0	0	13	0	14	14	203	152	38	1104	208	0	0	0	0	33	15	0	0	14	0	0	0	0	23	14	16	11	0	0	39	0	15
20150710.tsv	27	0	0	0	16	0	0	14	0	0	69	14	28	19	0	17	0	32	0	0	21	13	68	112	104	324	88	10	0	0	0	31	0	10	12	12	13	0	0	0	16	15	15	0	0	0	27	11	43
20150711.tsv	16	0	0	0	0	0	0	12	0	0	54	0	12	0	0	0	0	16	0	0	24	0	76	83	38	174	54	10	0	0	0	30	0	0	0	0	0	14	0	0	15	0	28	0	0	11	20	10	18
20150712.tsv	12	18	0	0	0	0	0	0	0	0	44	0	24	0	0	11	0	0	0	0	0	12	60	87	0	83	48	0	0	0	0	33	12	10	0	13	19	16	13	0	12	12	11	0	0	0	70	0	11
20150713.tsv	33	0	0	0	13	0	0	0	0	0	64	0	0	94	0	10	0	0	0	0	10	31	39	64	0	87	60	1936	0	12	0	29	13	10	0	0	14	0	0	0	16	0	18	0	0	0	32	0	0
20150714.tsv	55	20	0	0	14	0	0	14	0	0	76	0	16	19	0	17	0	12	14	0	11	41	96	89	15	94	118	590	25	0	0	18	13	0	0	10	17	0	0	12	20	27	12	0	0	16	38	11	21
20150715.tsv	43	0	0	0	20	10	0	0	11	0	78	0	23	11	0	15	0	39	10	0	18	48	68	90	21	120	131	113	22	11	0	32	12	0	0	0	0	0	0	0	17	17	13	0	0	12	28	0	16
20150716.tsv	20	14	0	0	18	13	0	0	0	0	61	0	22	0	0	10	0	21	25	0	0	49	155	60	17	55	133	55	0	17	0	20	0	255	0	12	10	18	10	0	29	19	0	0	0	0	44	0	0
20150717.tsv	26	0	0	0	0	0	0	0	0	0	75	0	15	0	0	29	32	12	10	0	32	35	76	70	18	44	78	35	0	0	0	23	13	78	0	0	10	12	0	0	17	0	0	0	0	0	41	16	12
20150718.tsv	25	16	0	0	14	0	12	0	0	0	80	0	28	0	0	17	10	17	10	0	40	24	82	62	0	42	70	17	0	0	10	35	0	61	0	17	0	0	0	0	0	14	0	0	0	0	36	11	21
20150719.tsv	22	0	0	0	10	0	0	0	0	0	56	0	21	0	0	14	12	0	0	0	0	20	57	43	10	29	82	35	769	0	0	16	0	20	0	10	0	0	0	0	0	14	0	0	0	0	29	0	10
20150720.tsv	29	0	0	0	18	11	14	0	0	0	63	0	14	0	0	16	0	65	0	0	0	18	48	40	13	28	43	44	205	0	0	33	13	27	0	0	11	0	0	0	18	14	0	0	0	0	57	15	12
20150721.tsv	40	12	0	0	30	0	0	0	0	0	83	0	15	0	0	11	0	12	10	0	0	12	40	37	208	33	16	40	111	0	0	49	0	25	0	0	22	0	0	0	11	10	0	0	0	0	83	10	0
20150722.tsv	19	0	0	0	28	0	0	0	0	0	71	0	20	0	0	21	0	36	0	0	13	14	26	53	168	27	0	43	502	0	10	28	11	21	0	10	0	0	19	0	19	16	14	0	0	0	45	10	0
20150723.tsv	24	0	0	0	19	0	0	0	0	0	66	14	21	0	0	14	0	30	15	0	12	12	122	32	135	43	29	46	89	0	0	68	0	15	0	11	0	15	17	0	25	13	0	0	0	0	29	14	0
20150724.tsv	55	0	0	0	0	0	10	0	0	0	75	0	24	0	0	13	0	24	10	0	13	18	63	40	93	19	10	24	70	0	11	42	11	10	0	0	0	10	182	0	10	13	0	0	0	0	33	10	10
20150725.tsv	51	0	0	0	11	19	0	0	0	0	52	0	14	0	0	0	0	18	10	0	0	14	55	43	86	24	12	34	42	0	11	35	0	12	0	0	0	0	83	0	28	14	0	10	10	0	44	0	15
20150726.tsv	62	0	0	0	16	0	0	0	0	0	50	0	14	0	0	0	0	16	0	0	15	0	48	32	78	37	0	24	105	0	0	27	10	0	0	0	0	0	11	0	12	10	0	0	0	0	50	16	16
20150727.tsv	18	11	0	0	12	0	0	12	0	0	43	0	15	19	0	11	0	0	18	0	0	0	27	32	63	35	0	19	342	2624	0	28	11	0	0	0	0	11	11	0	0	0	0	0	0	0	45	16	14
20150728.tsv	31	0	0	0	0	0	0	0	0	0	57	0	11	20	0	14	0	0	27	0	0	13	32	30	15	30	41	46	127	309	463	42	0	13	0	0	0	0	67	0	16	14	0	0	14	0	46	0	11
20150729.tsv	43	0	0	0	19	11	0	0	0	0	73	0	21	0	0	14	0	43	14	0	0	22	30	54	0	42	17	69	44	71	482	46	12	17	0	0	0	0	0	0	0	17	0	0	0	0	62	12	12
20150730.tsv	33	0	0	0	31	11	0	0	0	0	71	12	23	0	13	16	0	42	14	0	16	0	92	39	13	49	32	103	49	46	334	39	0	0	0	0	0	11	0	0	37	16	0	0	0	0	38	10	14
20150731.tsv	19	0	0	0	20	14	0	0	0	0	59	15	19	0	0	11	0	54	16	0	0	16	35	25	0	23	14	74	23	46	213	36	0	20	0	0	0	0	0	0	25	10	12	0	0	0	35	10	0
20150801.tsv	20	0	0	0	0	0	11	11	0	0	44	0	14	0	0	11	0	38	10	0	0	15	52	29	0	48	0	39	26	33	97	56	32	10	0	0	0	0	0	0	14	0	0	0	0	0	41	0	11
20150802.tsv	16	0	0	0	13	0	0	0	0	0	51	0	21	0	0	0	0	28	0	0	11	12	36	14	0	60	0	27	28	13	69	38	19	14	0	0	0	0	0	0	10	0	0	0	0	0	34	10	10
20150803.tsv	16	10	0	0	15	0	0	0	0	0	54	0	17	21	0	11	0	33	0	0	0	0	22	13	11	29	0	35	30	23	56	51	0	12	0	11	0	0	0	0	16	20	13	0	0	0	35	0	14
20150804.tsv	21	10	0	0	10	0	0	0	0	0	64	0	18	18	0	0	0	24	17	0	13	16	30	26	0	49	0	46	40	29	70	85	12	15	0	0	0	0	10	0	17	15	0	0	0	0	43	0	17
20150805.tsv	24	0	0	0	16	0	0	0	0	0	57	0	18	16	0	10	0	16	18	0	0	16	23	34	12	30	0	39	12	17	104	88	10	0	0	0	0	0	0	0	15	22	0	0	0	0	38	0	16
20150806.tsv	14	0	0	0	11	0	0	0	0	0	65	0	22	471	0	13	0	15	12	0	10	0	87	20	0	20	17	50	0	16	71	101	12	0	0	0	0	0	0	0	20	15	0	0	0	0	29	0	20
20150807.tsv	0	0	0	0	12	10	0	0	0	0	44	0	14	113	0	0	0	16	0	0	0	16	56	25	14	29	16	28	18	10	54	134	12	14	0	0	0	11	0	0	0	16	0	0	0	0	35	0	12
20150808.tsv	10	0	0	0	10	13	10	0	0	0	42	0	19	24	0	0	0	34	15	0	12	15	36	21	0	25	0	30	13	0	56	171	16	14	0	15	0	0	0	0	14	12	0	0	0	0	136	10	19
20150809.tsv	28	0	0	0	16	0	0	0	0	0	38	0	11	0	0	10	0	15	0	0	10	0	30	22	10	20	0	24	0	0	31	177	26	12	10	10	0	0	0	0	0	12	10	0	0	0	283	0	0
20150810.tsv	13	0	0	0	0	0	0	0	0	0	67	0	16	13	0	0	0	0	0	0	14	0	24	15	15	27	0	21	13	0	33	222	11	15	0	0	0	0	0	0	13	0	0	0	0	0	61	12	15
20150811.tsv	22	0	0	0	16	0	0	12	0	0	66	14	18	0	0	13	0	17	0	0	10	21	90	25	14	29	0	36	0	18	27	420	96	13	0	12	0	0	0	0	27	12	0	0	0	0	43	14	16
20150812.tsv	21	0	0	0	23	14	10	0	0	0	73	0	17	0	0	14	0	15	10	0	29	91	50	17	0	20	0	23	20	11	20	563	29	0	0	0	0	0	0	0	13	23	0	0	0	0	50	0	16
20150813.tsv	26	24	0	0	33	0	0	10	0	0	61	0	32	0	0	10	0	11	13	0	11	28	72	13	0	28	10	33	10	11	361	2186	457	14	0	0	0	0	0	0	18	11	0	0	10	0	35	0	11
20150814.tsv	13	0	0	0	0	0	0	0	0	0	74	0	15	0	0	10	0	0	13	0	0	11	42	20	0	21	13	0	10	0	71	920	615	10	0	0	0	0	0	0	13	11	0	0	0	0	27	17	0
20150815.tsv	33	0	0	0	0	0	0	0	0	0	56	0	22	0	0	0	0	13	0	0	13	20	44	19	10	30	12	12	23	0	73	353	523	11	0	0	0	11	0	0	16	0	11	0	0	0	32	0	10
20150816.tsv	28	0	0	0	0	0	0	0	0	0	53	0	18	0	0	0	0	10	10	0	18	17	27	0	0	23	0	16	0	0	39	162	191	0	0	0	0	0	0	0	12	12	0	0	0	0	19	10	0
20150817.tsv	35	0	0	0	12	0	11	10	0	0	59	0	24	11	0	13	0	17	0	0	11	17	19	37	0	25	0	13	18	0	42	108	243	12	0	0	0	0	0	0	16	26	0	0	0	0	52	0	0
20150818.tsv	29	10	0	0	10	0	0	0	0	0	60	0	19	0	0	13	0	0	20	0	0	26	31	39	14	23	0	33	23	0	52	104	389	12	0	11	0	0	0	0	28	29	0	0	10	0	31	27	10
20150819.tsv	35	0	0	0	11	0	0	0	0	10	81	0	27	0	0	0	0	11	26	0	11	38	30	23	0	33	0	11	25	0	17	48	738	0	0	11	0	0	0	0	18	54	0	0	0	0	27	12	17
20150820.tsv	19	0	0	0	16	0	0	0	0	0	84	0	22	0	0	0	0	21	0	0	0	21	119	34	0	29	0	21	16	0	29	32	273	58	0	10	0	0	0	0	20	36	0	0	0	0	32	0	16
20150821.tsv	24	0	0	0	14	12	0	0	0	0	61	18	31	10	10	0	0	11	15	0	10	26	33	27	11	34	0	19	0	0	19	23	232	610	0	12	0	0	0	0	12	25	0	0	0	0	25	0	0
20150822.tsv	17	0	0	0	11	0	0	0	0	0	75	100	19	0	11	15	0	11	0	0	16	17	53	26	0	24	0	0	16	13	33	30	203	151	0	0	0	39	0	0	0	21	0	0	0	0	45	11	0
20150823.tsv	22	0	0	0	0	15	0	14	0	0	39	15	23	0	0	0	0	0	0	0	0	12	18	17	0	18	15	12	19	0	11	20	77	66	0	0	0	0	0	0	0	14	0	0	0	0	20	0	0
20150824.tsv	22	0	0	0	0	11	0	0	0	0	68	0	13	0	10	10	0	0	16	0	0	12	20	16	12	26	0	25	10	0	24	16	91	29	0	0	0	0	13	0	14	25	0	0	17	0	32	14	17
20150825.tsv	20	0	0	0	14	23	0	14	0	0	80	0	12	0	0	10	0	20	16	0	19	25	43	10	0	21	15	16	21	0	20	15	176	47	0	12	0	14	14	0	16	17	0	0	12	0	21	0	13
20150826.tsv	18	0	0	0	11	10	0	11	0	0	74	0	22	0	11	12	0	14	17	0	15	15	154	15	0	29	0	17	27	0	19	14	97	49	17	0	0	0	14	0	59	18	10	0	10	0	29	16	22
20150827.tsv	24	0	0	0	10	11	11	0	0	0	81	0	22	0	0	21	0	17	21	0	0	15	39	11	0	15	0	18	15	12	38	19	117	27	0	32	0	0	0	0	24	23	0	0	0	0	33	10	68
20150828.tsv	31	0	0	0	22	0	0	0	0	10	123	0	18	0	0	21	0	16	0	0	0	21	26	73	0	22	0	0	0	0	19	16	184	12	0	30	0	0	0	0	20	24	0	0	0	0	38	0	19
20150829.tsv	14	15	0	0	0	12	0	14	0	0	99	0	26	11	0	0	0	0	11	0	0	13	39	34	11	17	0	0	10	0	17	0	66	23	809	0	0	0	0	0	12	13	0	0	0	0	33	11	0
20150830.tsv	20	0	0	0	20	0	0	0	0	0	49	0	13	0	0	12	0	0	0	0	14	0	16	17	0	27	0	0	17	0	21	0	53	16	127	12	0	0	0	0	17	0	0	0	0	0	32	0	0
20150831.tsv	28	0	0	0	15	0	0	0	0	0	63	0	16	0	0	0	0	12	13	0	12	12	16	19	0	25	0	15	14	0	0	12	25	0	47	12	0	0	0	0	13	0	0	0	0	0	46	0	11
20150901.tsv	23	0	10	0	13	13	0	0	0	0	81	0	24	0	0	12	0	13	0	0	13	15	21	42	0	16	0	11	18	0	12	16	60	13	75	19	0	0	10	0	25	12	12	0	0	26	48	14	11
20150902.tsv	17	0	0	0	14	0	0	0	0	0	74	0	15	0	0	0	0	0	13	0	0	17	13	31	0	12	0	16	16	0	16	11	45	13	49	37	0	0	11	0	20	19	0	0	0	0	39	0	11
20150903.tsv	19	0	0	0	18	10	0	0	0	10	75	0	20	0	0	15	0	14	0	0	11	18	13	26	11	33	0	11	0	12	38	0	45	11	22	21	12	10	17	0	25	25	0	0	0	0	49	10	0
20150904.tsv	19	0	0	0	15	0	0	16	0	0	72	0	12	11	0	0	0	13	0	0	0	16	26	39	0	312	0	10	13	0	0	23	38	10	18	1261	0	0	12	0	33	13	0	0	0	0	28	20	0
20150905.tsv	19	0	0	0	20	0	0	19	0	0	72	0	17	0	0	0	0	12	0	0	0	11	22	34	0	65	0	12	0	0	10	13	79	11	19	482	0	0	0	0	24	13	10	0	0	0	63	19	0
20150906.tsv	10	0	0	0	15	10	0	11	0	0	76	0	0	0	0	0	0	0	0	0	0	13	25	19	0	25	0	22	12	0	0	0	29	0	11	178	0	0	0	0	11	11	0	0	0	0	36	21	11
20150907.tsv	13	0	0	0	15	13	0	12	0	0	71	0	17	0	0	13	0	0	0	0	13	15	13	22	0	31	0	13	15	0	16	16	35	16	13	69	15	0	15	0	15	16	0	0	0	0	152	17	0
20150908.tsv	10	0	0	0	18	13	0	46	0	0	77	0	21	0	0	12	0	11	0	0	0	26	13	11	17	21	0	0	16	0	11	43	47	109	29	34	11	0	10	0	10	12	0	16	0	0	145	0	0
